Date,Challenge,Score,Notes
08-22-2020,Cata IC Long Strafes,2909.1,
08-22-2020,Apex Legends Tracking by Aveeux,13365,
08-22-2020,1wall5targets_pasu,41.1,
08-22-2020,Bounce 180 Tracking Large,32,
08-22-2020,Reflex Flick - Easy,2461.5,
08-22-2020,1wall 6targets small,570.9,
08-22-2020,pasu Dodge ES 180,20288,
08-23-2020,1wall6targets TE,90.1,
08-23-2020,1wall6targets TE,107.1,
08-23-2020,1wall6targets TE,95.3,
08-23-2020,Tile Frenzy,79.8,
08-23-2020,Tile Frenzy,95.2,
08-23-2020,Tile Frenzy,85,
08-23-2020,Tile Frenzy,95.3,
08-23-2020,Reflex Flick - Easy,2509,
08-23-2020,Reflex Flick - Easy,3201.4,
08-23-2020,Reflex Flick - Easy,3201.4,
08-23-2020,Tile Frenzy Mini,81.4,
08-23-2020,Tile Frenzy Mini,86.3,
08-23-2020,Tile Frenzy Mini,91.9,
08-23-2020,Tile Frenzy Mini,86.5,
08-23-2020,Tile Frenzy Strafing - 01,70.8,
08-23-2020,Tile Frenzy Strafing - 01,69.3,
08-23-2020,Tile Frenzy Strafing - 01,64.3,
08-23-2020,Tile Frenzy Strafing - 01,62.5,
08-23-2020,Cata IC Long Strafes,2871.4,
08-23-2020,Apex Legends Tracking by Aveeux,11610,
08-23-2020,1wall5targets_pasu,43.3,
08-23-2020,Bounce 180 Tracking Large,30,
08-23-2020,Reflex Flick - Easy,2933.3,
08-23-2020,1wall 6targets small,602.8,
08-23-2020,pasu Dodge ES 180,18989,
